,,,,계,,관광,,상용,,공용,,유학연수,,기타
년,월,대륙,국적,인원수,증감률(%),인원수,증감률(%),인원수,증감률(%),인원수,증감률(%),인원수,증감률(%),인원수,증감률(%)
"2010","02","아시아","말레이시아","7,483","68.16","5,914","117.59","58","38.10","3","200.00","358","12.93","1,150","-16.18"
"2010","02","아시아","싱가포르","5,798","47.05","4,677","83.63","112","15.46","4","-50.00","77","140.63","928","-26.29"
"2010","02","아시아","몽골","3,582","16.68","2,320","37.28","199","-14.59","5","25.00","491","4.69","567","-15.88"
"2010","02","아시아","우즈베키스탄","1,296","-0.38","205","46.43","296","-24.68","22","15.79","59","11.32","714","2.59"
"2010","02","아시아","미얀마","4,464","7.28","584","4.47","19","26.67","3","-62.50","35","20.69","3,823","7.69"
"2010","02","아시아","GCC","472","47.04","305","101.99","101","13.48","5","-37.50","24","-36.84","37","5.71"
"2010","02","아시아","카자흐스탄","469","4.92","168","-10.64","80","175.86","0","0.00","101","6.32","120","-11.11"
"2010","02","아시아","터키","874","9.66","418","-0.48","17","-19.05","12","0.00","43","38.71","384","18.15"
"2010","02","아시아","캄보디아","399","-27.85","195","46.62","21","23.53","2","0.00","65","71.05","116","-68.04"
"2010","02","아시아","스리랑카","696","-24.43","68","44.68","36","-26.53","3","0.00","18","0.00","571","-28.98"
"2010","02","아시아","방글라데시","659","-11.78","78","-2.50","102","36.00","12","-45.45","100","-8.26","367","-20.39"
"2010","02","아시아","파키스탄","786","-7.75","78","-21.21","199","-3.40","1","0.00","77","35.09","431","-11.86"
"2010","02","아시아","이스라엘","844","16.41","800","21.40","5","-37.50","2","0.00","3","-25.00","34","-37.04"
"2010","02","아시아","이란","491","-16.64","44","4.76","271","-15.84","1","0.00","17","41.67","158","-25.82"
"2010","02","아시아","아시아 기타","1,436","-25.05","534","-3.09","473","-15.69","36","-63.64","143","13.49","250","-56.82"
"2010","02","아시아 소계","","515,506","-5.86","383,125","-1.22","13,711","-18.05","364","-24.17","33,910","2.83","84,396","-22.99"
"2010","02","아메리카","미국","41,077","0.75","26,268","-1.67","997","-31.48","1,315","-25.92","391","22.19","12,106","15.21"
"2010","02","아메리카","캐나다","8,503","10.01","5,033","11.23","68","-33.98","1","0.00","31","-34.04","3,370","10.35"
"2010","02","아메리카","브라질","792","20.92","442","20.11","45","73.08","2","0.00","21","110.00","282","13.25"
"2010","02","아메리카","멕시코","429","40.66","287","37.98","8","33.33","1","0.00","26","62.50","107","42.67"
"2010","02","아메리카","아메리카 기타","955","-13.34","578","12.67","13","-35.00","5","-16.67","68","36.00","291","-43.27"
"2010","02","아메리카 소계","","51,756","2.36","32,608","0.87","1,131","-29.75","1,324","-25.74","537","21.22","16,156","12.20"
"2010","02","유럽","러시아","8,674","-2.03","3,156","-5.62","429","-7.14","8","60.00","220","58.27","4,861","-0.88"
"2010","02","유럽","영국","6,470","-12.34","4,958","-11.83","280","11.11","4","300.00","21","31.25","1,207","-18.94"
"2010","02","유럽","독일","6,486","-25.37","4,849","-25.45","157","-6.55","12","-29.41","150","54.64","1,318","-30.81"
"2010","02","유럽","프랑스","4,252","0.07","2,831","-7.09","253","20.48","35","84.21","230","71.64","903","7.63"
"2010","02","유럽","이탈리아","1,256","-0.40","1,106","-2.73","28","47.37","2","-71.43","19","46.15","101","18.82"
"2010","02","유럽","네덜란드","1,380","-5.67","960","-9.18","26","-27.78","1","0.00","34","36.00","359","4.06"
"2010","02","유럽","우크라이나","1,615","-10.08","318","18.66","15","0.00","0","0.00","23","130.00","1,259","-16.23"
"2010","02","유럽","스페인","600","21.70","478","21.32","11","-26.67","5","150.00","25","525.00","81","3.85"
"2010","02","유럽","루마니아","467","-6.22","173","11.61","9","-10.00","0","0.00","2","-71.43","283","-13.19"
"2010","02","유럽","노르웨이","814","-13.22","474","-26.28","241","30.27","0","0.00","12","500.00","87","-19.44"
"2010","02","유럽","스웨덴","855","-0.47","634","2.59","52","-1.89","8","300.00","36","16.13","125","-19.35"
"2010","02","유럽","폴란드","751","37.29","321","30.49","7","-58.82","0","0.00","28","40.00","395","49.62"
"2010","02","유럽","스위스","534","-18.97","454","-19.36","14","-26.32","0","0.00","18","157.14","48","-31.43"
"2010","02","유럽","포르투갈","415","35.62","370","41.76","7","250.00","0","0.00","1","0.00","37","-11.90"
"2010","02","유럽","오스트리아","579","-18.22","435","-24.61","10","100.00","3","0.00","24","4.35","107","3.88"
"2010","02","유럽","핀란드","551","-26.73","354","-31.40","10","-9.09","1","0.00","57","72.73","129","-32.81"
"2010","02","유럽","벨기에","450","2.27","324","-6.09","17","54.55","1","0.00","8","60.00","100","26.58"
"2010","02","유럽","크로아티아","497","-14.60","195","15.38","12","-67.57","3","0.00","1","0.00","286","-23.94"
"2010","02","유럽","그리스","444","-29.75","230","-20.42","29","7.41","0","0.00","1","0.00","184","-41.77"
"2010","02","유럽","불가리아","547","-1.44","104","-23.53","0","0.00","0","0.00","9","0.00","434","3.58"
"2010","02","유럽","덴마크","470","-10.98","338","-16.75","21","-19.23","0","0.00","7","0.00","104","16.85"
"2010","02","유럽","아일랜드","511","13.30","283","-10.44","8","-11.11","0","0.00","6","0.00","214","69.84"
"2010","02","유럽","유럽 기타","1,480","-18.59","914","-26.23","23","-30.30","0","0.00","86","95.45","457","-8.96"
"2010","02","유럽 소계","","40,098","-9.81","24,259","-12.90","1,659","2.28","83","56.60","1,018","64.72","13,079","-8.63"
"2010","02","오세아니아","오스트레일리아","5,957","25.17","4,516","31.82","390","-0.51","29","61.11","36","44.00","986","9.80"
"2010","02","오세아니아","뉴질랜드","1,487","4.50","1,056","6.13","41","24.24","1","-50.00","4","33.33","385","-1.28"
"2010","02","오세아니아","오세아니아 기타","409","-22.83","264","-10.81","0","-100.00","0","-100.00","5","25.00","140","-38.60"
"2010","02","오세아니아 소계","","7,853","17.00","5,836","23.72","431","1.17","30","42.86","45","40.63","1,511","-0.33"
"2010","02","아프리카","남아프리카공화국","876","31.14","278","22.47","24","60.00","0","0.00","2","0.00","572","34.27"
"2010","02","아프리카","아프리카 기타","1,474","-3.03","413","-11.75","588","0.86","25","66.67","147","8.89","301","-5.64"
"2010","02","아프리카 소계","","2,350","7.40","691","-0.58","612","2.34","25","66.67","149","10.37","873","17.18"
"2010","02","기타","국적미상","10","-50.00","6","-68.42","0","-100.00","0","0.00","1","0.00","3","0.00"
"2010","02","기타 소계","","10","-50.00","6","-68.42","0","-100.00","0","0.00","1","0.00","3","0.00"
"2010","02","교포","교포","21,338","38.85","0","0.00","0","0.00","0","0.00","0","0.00","21,338","38.85"
"2010","02","교포 소계","","21,338","38.85","0","0.00","0","0.00","0","0.00","0","0.00","21,338","38.85"
"2010","02 소계","","","638,911","-4.20","446,525","-1.53","17,544","-16.41","1,826","-22.36","35,660","4.26","137,356","-11.91"
"2010","03","아시아","중국","141,457","26.40","50,330","49.30","13,549","-2.01","174","125.97","14,924","64.05","62,480","13.18"
"2010","03","아시아","일본","306,126","-6.35","299,820","-6.49","1,483","-5.36","124","-17.88","519","9.96","4,180","3.49"
"2010","03","아시아","대만","27,894","0.35","27,050","-0.25","45","2.27","12","9.09","93","34.78","694","24.82"
"2010","03","아시아","홍콩","17,924","30.13","17,226","33.62","81","24.62","1","0.00","21","10.53","595","-25.44"
"2010","03","아시아","마카오","435","21.85","434","23.30","0","-100.00","0","0.00","1","0.00","0","0.00"
"2010","03","아시아","필리핀","27,441","9.98","7,184","46.22","284","115.15","73","17.74","57","-3.39","19,843","0.30"
"2010","03","아시아","인도네시아","6,030","1.77","2,052","6.43","585","97.64","14","75.00","75","78.57","3,304","-9.50"
"2010","03","아시아","태국","25,158","40.35","20,346","52.36","59","25.53","35","94.44","67","3.08","4,651","4.73"
"2010","03","아시아","베트남","7,674","20.17","2,343","-7.68","607","51.75","18","125.00","378","89.00","4,328","33.58"
"2010","03","아시아","인도","6,810","1.84","1,188","-23.50","2,018","46.76","10","-60.00","69","15.00","3,525","-4.06"
"2010","03","아시아","말레이시아","8,333","35.39","6,794","45.36","60","57.89","2","0.00","50","4.17","1,427","2.44"
"2010","03","아시아","싱가포르","7,409","15.69","6,216","24.74","162","42.11","4","-33.33","13","160.00","1,014","-21.76"
"2010","03","아시아","몽골","3,293","10.36","2,139","35.29","253","10.00","3","-40.00","404","57.20","494","-45.77"
"2010","03","아시아","우즈베키스탄","1,510","23.87","239","33.52","419","10.55","1","-91.67","43","-12.24","808","34.67"
"2010","03","아시아","미얀마","5,412","13.89","990","55.42","64","166.67","45","246.15","13","-48.00","4,300","6.09"
"2010","03","아시아","GCC","542","36.52","356","42.97","113","39.51","1","-90.00","23","27.78","49","25.64"
"2010","03","아시아","카자흐스탄","510","33.16","251","34.22","80","53.85","1","0.00","35","75.00","143","15.32"
"2010","03","아시아","터키","1,492","63.60","875","91.05","24","-4.00","9","350.00","7","-22.22","577","38.04"
"2010","03","아시아","캄보디아","394","-11.26","241","85.38","22","-21.43","1","-66.67","46","24.32","84","-65.85"
